t,x_r,y_r,z_r,v_x_r,v_y_r,v_z_r,psi_r
12306,0,0,-4.5,0.5,0,0,0
12344,0,0,-4.5,0.5,0,0,0
12379,0,0,-4.5,0.5,0,0,0
12416,0,0,-4.5,0.5,0,0,0
12437,0,0,-4.5,0.5,0,0,0
12472,0,0,-4.5,0.5,0,0,0
12502,0,0,-4.5,0.5,0,0,0
12516,0,0,-4.5,0.5,0,0,0
12539,0,0,-4.5,0.5,0,0,0
12553,0,0,-4.5,0.5,0,0,0
12580,0,0,-4.5,0.5,0,0,0
12604,0,0,-4.5,0.5,0,0,0
12621,0,0,-4.5,0.5,0,0,0
12643,0,0,-4.5,0.5,0,0,0
12666,0,0,-4.5,0.5,0,0,0
12699,0,0,-4.5,0.5,0,0,0
12721,0,0,-4.5,0.5,0,0,0
12747,0,0,-4.5,0.5,0,0,0
12772,0,0,-4.5,0.5,0,0,0
12819,0,0,-4.5,0.5,0,0,0
12843,0,0,-4.5,0.5,0,0,0
12879,0,0,-4.5,0.5,0,0,0
12894,0,0,-4.5,0.5,0,0,0
12922,0,0,-4.5,0.5,0,0,0
12944,0,0,-4.5,0.5,0,0,0
12958,0,0,-4.5,0.5,0,0,0
12982,0,0,-4.5,0.5,0,0,0
13002,0,0,-4.5,0.5,0,0,0
13034,0,0,-4.5,0.5,0,0,0
13054,0,0,-4.5,0.5,0,0,0
13080,0,0,-4.5,0.5,0,0,0
13100,0,0,-4.5,0.5,0,0,0
13121,0,0,-4.5,0.5,0,0,0
13149,0,0,-4.5,0.5,0,0,0
13170,0,0,-4.5,0.5,0,0,0
13191,0,0,-4.5,0.5,0,0,0
13211,0,0,-4.5,0.5,0,0,0
13239,0,0,-4.5,0.5,0,0,0
13256,0,0,-4.5,0.5,0,0,0
13277,0,0,-4.5,0.5,0,0,0
13300,0,0,-4.5,0.5,0,0,0
13321,0,0,-4.5,0.5,0,0,0
13356,0,0,-4.5,0.5,0,0,0
13374,0,0,-4.5,0.5,0,0,0
13392,0,0,-4.5,0.5,0,0,0
13417,0,0,-4.5,0.5,0,0,0
13442,0,0,-4.5,0.5,0,0,0
13465,0,0,-4.5,0.5,0,0,0
13486,0,0,-4.5,0.5,0,0,0
13501,0,0,-4.5,0.5,0,0,0
13537,0,0,-4.5,0.5,0,0,0
13556,0,0,-4.5,0.5,0,0,0
13578,0,0,-4.5,0.5,0,0,0
13601,0,0,-4.5,0.5,0,0,0
13630,0,0,-4.5,0.5,0,0,0
13651,0,0,-4.5,0.5,0,0,0
13670,0,0,-4.5,0.5,0,0,0
13694,0,0,-4.5,0.5,0,0,0
13728,0,0,-4.5,0.5,0,0,0
13754,0,0,-4.5,0.5,0,0,0
13776,0,0,-4.5,0.5,0,0,0
13800,0,0,-4.5,0.5,0,0,0
13832,0,0,-4.5,0.5,0,0,0
13866,0,0,-4.5,0.5,0,0,0
13890,0,0,-4.5,0.5,0,0,0
13917,0,0,-4.5,0.5,0,0,0
13935,0,0,-4.5,0.5,0,0,0
13956,0,0,-4.5,0.5,0,0,0
13990,0,0,-4.5,0.5,0,0,0
14005,0,0,-4.5,0.5,0,0,0
14022,0,0,-4.5,0.5,0,0,0
14047,0,0,-4.5,0.5,0,0,0
14071,0,0,-4.5,0.5,0,0,0
14095,0,0,-4.5,0.5,0,0,0
14112,0,0,-4.5,0.5,0,0,0
14137,0,0,-4.5,0.5,0,0,0
14152,0,0,-4.5,0.5,0,0,0
14189,0,0,-4.5,0.5,0,0,0
14214,0,0,-4.5,0.5,0,0,0
14236,0,0,-4.5,0.5,0,0,0
14272,0,0,-4.5,0.5,0,0,0
14301,0,0,-4.5,0.5,0,0,0
14327,0,0,-4.5,0.5,0,0,0
14351,0,0,-4.5,0.5,0,0,0
14388,0,0,-4.5,0.5,0,0,0
14406,0,0,-4.5,0.5,0,0,0
14433,0,0,-4.5,0.5,0,0,0
14458,0,0,-4.5,0.5,0,0,0
14472,0,0,-4.5,0.5,0,0,0
14508,0,0,-4.5,0.5,0,0,0
14530,0,0,-4.5,0.5,0,0,0
14561,0,0,-4.5,0.5,0,0,0
14577,0,0,-4.5,0.5,0,0,0
14613,0,0,-4.5,0.5,0,0,0
14633,0,0,-4.5,0.5,0,0,0
14656,0,0,-4.5,0.5,0,0,0
14677,0,0,-4.5,0.5,0,0,0
14708,0,0,-4.5,0.5,0,0,0
14728,0,0,-4.5,0.5,0,0,0
