Timestamp,Ax,Ay,Az,P,Q,R,Phi,Theta,Psi,PosX,PosY,PosZ
7919,18.586,15.5858,-1.70155,-0.0443391,-0.0691693,-0.040703,0.108975,-0.0349072,-0.00522215,-11.9585,-0.139421,-4.94646
8019,-14.1605,15.9447,-6.84085,-0.0413525,-0.0563832,0.0218568,0.106886,-0.0378495,0.000586516,0,0,0
8124,-10.2578,-11.3633,4.85018,-0.0120557,-0.0513709,0.0747912,0.128134,-0.0292159,0.00591649,0,0,0
8235,5.6117,14.2711,-19.1532,0.055402,0.021702,0.0727096,0.127413,-0.0195046,0.0100957,-11.5209,-0.120524,-4.78872
8321,-18.1794,-12.5059,9.83814,-0.0126999,0.0249731,0.0386267,0.148799,-0.0407784,0.00740663,-11.607,-0.118491,-4.98709
8425,2.2289,-6.08356,-1.94444,0.0814885,-0.0171244,-0.0396542,0.13489,-0.0152941,0.007056,0,0,0
8545,19.3339,12.7976,-13.6965,-0.0310989,-0.0177593,0.0274894,0.132063,0.0211777,0.0102892,0,0,0
8637,-9.92612,-8.51894,-15.7205,0.072289,0.0556899,-0.044765,0.127884,0.027374,0.0122079,0,0,0
8727,15.6203,-7.63024,-27.63,0.0439665,0.0382522,0.010203,0.136679,0.0207583,0.0164541,0,0,0
8827,1.66841,-5.2559,-25.4205,-0.0752064,0.047524,-0.0824681,0.134413,0.0251933,0.0123386,-11.2603,-0.12563,-4.28436
8937,3.69113,3.18186,7.23798,0.0279898,0.036705,0.0141799,0.134509,0.0278619,0.0150624,-11.3563,-0.130208,-4.22504
9060,-15.3147,18.2788,-0.571094,-0.0773892,-0.0470928,-0.000204966,0.131459,-0.0146814,0.0174491,-11.3386,-0.112677,-4.70121
9171,3.61895,15.1244,-7.24977,0.0710592,-0.0514411,-0.0472353,0.117346,-0.0306308,0.0175478,-11.1958,-0.107921,-4.91345
9275,-2.40788,7.28111,2.91656,0.0840918,0.0809615,0.00252081,0.118613,-0.0190011,0.0175507,-11.0655,-0.0979445,-4.77744
9373,-7.56676,-11.5378,1.47731,-0.00161044,-0.0766307,0.0678596,0.152866,-0.0173774,0.014413,0,0,0
9488,-4.388,15.1353,9.51467,0.00573638,-0.0430131,0.017454,0.133423,-0.0132009,0.0167093,0,0,0
9605,-20.0355,17.3315,2.90314,-0.0698081,-0.0642989,0.0618384,0.120901,-0.0146146,0.0179563,-10.9832,-0.123765,-4.72146
9760,-10.8861,5.07157,-3.58021,0.027532,0.0453501,-6.65473e-05,0.121318,-0.0252987,0.0153907,-10.9845,-0.11408,-4.84783
9878,-15.7447,14.4383,-13.08,0.0441049,0.0866791,-0.0473045,0.135253,-0.0348392,0.0219563,-10.8876,-0.102352,-4.9591
9988,17.5363,16.9982,4.65613,0.0122474,0.0767718,0.033452,0.122548,-0.038462,0.0257668,-10.8887,-0.122241,-4.98289
10100,-6.27546,-19.9512,-25.136,-0.0373703,0.00837998,-0.0870838,0.121938,-0.0583573,0.0236732,-10.8348,-0.120496,-5.2075
10213,-14.4447,-6.10675,4.54016,0.0485449,0.04193,0.0770804,0.137894,-0.07168,0.0251285,-10.796,-0.118748,-5.35317
10322,-0.30976,5.63677,-26.4557,-0.0376578,-0.0554384,-0.0468147,0.125899,-0.0682688,0.0238567,0,0,0
